GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",ASHWORTH INC,-5.276,-0.176,1.281,2.688,0.517,-1.702,3.669,-1.404,,,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,ATA INC -ADS,,,,,,-6.038,0.053,40.955,-3.175,-14.156,8.275,-1.729,5.291,3.526,
Consumer Discretionary,Media,Media,ATLANTIC BROADBAND FINANCE L,,,,,12,-5.98,3.618,-6.86,3.617,7.689,-4.949,-3.285,,,
Consumer Discretionary,Retailing,Internet & Catalog Retail,AUDIBLE INC,2.119,-6.521,-4.806,6.253,4.221,-1.747,3.376,57.459,,,,,,,
Consumer Discretionary,Automobiles & Components,Auto Components,AUTOLIV INC,-37,2,17.3,-7.8,135.5,66.7,-127.8,-14.3,334.8,-15.9,115,151.5,238.5,140.6,410.7
Consumer Discretionary,Retailing,Specialty Retail,AUTONATION INC,-153.8,43.5,48.1,-5.4,-66.2,135.6,-193.5,-20,78,63.5,-78.4,-8.5,-16.9,-0.5,6.2
Consumer Discretionary,Retailing,Specialty Retail,AUTOZONE INC,1.051,0.317,-0.788,0.244,-16.25,-2.042,16.748,-4.904,155.807,-149.755,5.574,-0.674,5.487,39.098,-17.706
Consumer Discretionary,Retailing,Specialty Retail,BAKERS FOOTWEAR GROUP INC,,-0.733,-0.495,0.574,6.101,2.493,-3.518,-0.248,-0.025,0.02,,0.002,,,
Consumer Discretionary,Media,Media,BALLANTYNE STRONG INC,1.364,-0.053,4.177,2.486,5.27,5.596,2.994,1.598,7.205,12.164,-1.339,17.639,0.279,-11.377,-6.3
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BALLY TECHNOLOGIES INC,15.114,22.801,8.559,6.918,133.842,-121.088,-16.745,24.417,25.728,-1.972,89.203,-78.664,-33.752,30.547,14.219
Consumer Discretionary,Retailing,Specialty Retail,BARNES & NOBLE INC,1.756,82.215,159.424,219.558,253.357,-163.066,-23.819,12.28,-53.472,-25.629,-1.536,-5.298,106.339,179.701,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",BARRY (R G) CORP,-3.076,5.328,-5.377,-4.869,-1.054,2.571,,17.219,-3.997,0.049,2.729,-7.881,7.005,5.694,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,BASSETT FURNITURE INDS,-2.481,2.088,-3.976,13.81,-11.159,3.087,-1.058,-2.513,0.239,19.444,-12.15,58.53,-24.035,-32.833,13.94
Consumer Discretionary,Media,Media,BEASLEY BROADCAST GROUP INC,-1.26,-0.744,0.449,2.282,7.121,1.429,-7.733,-1.996,-3.097,2.439,4.767,2.95,-1.949,2.638,-0.039
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,BEAZER HOMES USA INC,0,41.678,83.311,-51.617,247.508,-23.782,-134.528,286.767,129.997,-76.995,29.782,-166.718,117.392,16.664,-180.305
Consumer Discretionary,Retailing,Specialty Retail,BEBE STORES INC,13.199,18.459,32.431,9.458,48.316,1.017,11.584,26.947,57.741,-31.954,103.3,-99.513,9.805,-18.017,7.38
Consumer Discretionary,Retailing,Specialty Retail,BED BATH & BEYOND INC,95.297,190.168,86.174,309.345,-72.392,25.589,-34.316,10.703,444.125,427.891,87.487,-180.421,-438.195,-198.455,509.058
Consumer Discretionary,Retailing,Multiline Retail,BELK INC,4.508,-5.104,68.844,74.785,66.193,97.752,-137.578,15.734,73.161,325.796,-132.527,2.869,-187.095,26.157,-0.975
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BELMOND LTD,5.179,41.974,-20.003,43.487,4.263,-47.213,40.921,15.407,-25.041,7.085,77.86,-60.506,3.278,30.315,11.565
Consumer Discretionary,Media,Media,BELO CORP  -SER A COM,42.087,-51.767,-1.218,-2.773,-3.316,4.633,13.048,-27.311,-13.21,-0.97,3.509,52.809,-51.681,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",BENETTON GROUP SPA  -ADR,72.845,-82.875,31.213,183.246,-123.828,-75.634,-23.638,-70.73,-12.2,31.139,76.797,-17.611,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BENIHANA INC,-0.23,4.127,-2.763,-0.103,1.082,15.86,-9.854,-6.731,2.173,-1.333,1.48,16.606,,,
Consumer Discretionary,Retailing,Specialty Retail,BEST BUY CO INC,-3.844,1108,53,686,225,327,457,233,-940,1328,-723,96,701,852,-52
Consumer Discretionary,Retailing,Specialty Retail,BIG 5 SPORTING GOODS CORP,-1.338,4.112,1.576,-0.411,-2.284,-0.692,-0.909,4.596,-0.683,-3.293,-0.145,-0.72,2.735,1.765,2.103
Consumer Discretionary,Retailing,Multiline Retail,BIG LOTS INC,-65.676,-1.839,138.186,24.22,-171.482,-0.811,279.947,-244.526,-2.358,248.96,-106.194,-108.992,-7.966,8.048,-16.368
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BIGLARI HOLDINGS INC,-1.827,6.537,-3.429,19.508,0.355,-22.087,1.757,-3.323,5.358,44.54,-3.832,51.424,-38.628,34.267,29.664
Consumer Discretionary,Retailing,Specialty Retail,BIRKS GROUP INC,,,,0.174,0.106,0.076,1.138,0.194,-1.142,1.375,-0.061,-0.215,0.699,-1.498,
