Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Consumer Durables and Apparel,FOSSIL GROUP INC,0.023,0.019,0.017,0.042,0.005,0.005,0.036,0.013,0.015,0.013,0.009,0.006,0.007,0.009,0.042,0.228
Consumer Durables and Apparel,G-III APPAREL GROUP LTD,0.068,0.059,0.022,0.016,0.014,0.011,0.018,0.214,0.141,0.055,0.103,0,0,0.055,0.118,0.089
Consumer Durables and Apparel,HALLWOOD GROUP INC,0.639,0.671,0.558,0.333,0.342,0.365,0.064,0.072,0.111,0.202,0.165,0.084,0.023,0.022,0.2,0.106
Consumer Durables and Apparel,HARMAN INTERNATIONAL INDS,0.295,0.292,0.244,0.317,0.321,0.295,0.199,0.153,0.084,0.031,0.151,0.253,0.148,0.124,0.125,0.09
Consumer Durables and Apparel,HASBRO INC,0.205,0.254,0.365,0.357,0.339,0.225,0.199,0.165,0.163,0.264,0.226,0.294,0.345,0.383,0.375,0.317
Consumer Durables and Apparel,HELEN OF TROY LTD,0.223,0.182,0.193,0.154,0.136,0.112,0.333,0.309,0.276,0.236,0.258,0.161,0.243,0.243,0.174,0.126
Consumer Durables and Apparel,ICONIX BRAND GROUP INC,0.23,0.262,0.22,0.281,0.51,0.536,0.365,0.456,0.232,0.526,0.47,0.367,0.299,0.293,0.367,0.499
Consumer Durables and Apparel,INTERNATIONAL TEXTLE GRP INC,0.659,0.839,0.398,0.298,0.291,0.13,0.055,0.055,0.379,0.514,0.747,0.956,1.009,1.129,0.978,0.971
Consumer Durables and Apparel,JOE'S JEANS INC,0.473,0.484,0.241,0.412,0.224,0.482,0.364,0.318,0.134,0.064,0.05,0.039,0.061,0.041,0.016,0.468
Consumer Durables and Apparel,JOHNSON OUTDOORS INC  -CL A,0.421,0.405,0.408,0.398,0.325,0.279,0.228,0.179,0.133,0.134,0.235,0.15,0.105,0.058,0.034,0.029
Consumer Durables and Apparel,JONES GROUP INC,0.354,0.394,0.361,0.292,0.256,0.243,0.268,0.251,0.236,0.242,0.322,0.261,0.23,0.316,0.369,0.378
Consumer Durables and Apparel,KATE SPADE and CO,0,0.082,0.178,0.199,0.174,0.176,0.178,0.148,0.17,0.272,0.39,0.41,0.459,0.47,0.45,0.403
Consumer Durables and Apparel,KB HOME,0.542,0.532,0.563,0.462,0.419,0.329,0.351,0.318,0.347,0.379,0.48,0.53,0.571,0.63,0.673,0.673
Consumer Durables and Apparel,LEGGETT and PLATT INC,0.247,0.282,0.307,0.303,0.281,0.302,0.292,0.266,0.273,0.285,0.28,0.27,0.261,0.293,0.325,0.283
Consumer Durables and Apparel,LENNAR CORP,0.417,0.39,0.451,0.469,0.425,0.338,0.319,0.308,0.303,0.312,0.373,0.407,0.472,0.496,0.486,0.446
Consumer Durables and Apparel,LIBBEY INC,0.435,0.411,0.361,0.316,0.364,0.419,0.39,0.439,0.559,0.552,0.67,0.648,0.546,0.503,0.582,0.496
Consumer Durables and Apparel,LIFETIME BRANDS INC,0.014,0.081,0.1,0.185,0.127,0.128,0.163,0.092,0.299,0.389,0.482,0.345,0.28,0.306,0.275,0.207
Consumer Durables and Apparel,LUXOTTICA GROUP SPA   -ADR,0.393,0.464,0.417,0.477,0.392,0.452,0.433,0.363,0.303,0.444,0.443,0.381,0.349,0.34,0.291,0.257
Consumer Durables and Apparel,M/I HOMES INC,0.364,0.399,0.369,0.317,0.158,0.24,0.324,0.385,0.437,0.324,0.362,0.346,0.418,0.448,0.438,0.414
Consumer Durables and Apparel,MAD CATZ INTERACTIVE INC,0.049,0.125,0.263,0.086,0.26,0.23,0.153,0.125,0.024,0.284,0.515,0.356,0.264,0.215,0.169,0.203
Consumer Durables and Apparel,MATTEL INC,0.269,0.304,0.348,0.28,0.19,0.147,0.13,0.17,0.141,0.197,0.193,0.157,0.221,0.275,0.231,0.249
Consumer Durables and Apparel,MDC HOLDINGS INC,0.316,0.302,0.319,0.23,0.299,0.294,0.316,0.299,0.288,0.361,0.417,0.423,0.498,0.427,0.422,0.446
Consumer Durables and Apparel,MERITAGE HOMES CORP,0.244,0.379,0.323,0.407,0.383,0.368,0.373,0.3,0.338,0.417,0.474,0.487,0.495,0.496,0.459,0.46
Consumer Durables and Apparel,MOHAWK INDUSTRIES INC,0.267,0.354,0.353,0.2,0.235,0.243,0.202,0.414,0.349,0.263,0.305,0.293,0.271,0.258,0.223,0.268
Consumer Durables and Apparel,NACCO INDUSTRIES  -CL A,0.248,0.278,0.33,0.427,0.37,0.237,0.221,0.223,0.193,0.209,0.266,0.275,0.236,0.208,0.229,0.227
Consumer Durables and Apparel,NATUZZI  SPA -ADR,0.009,0.006,0.006,0.194,0.008,0.015,0.017,0.018,0.01,0.016,0.025,0.015,0.031,0.076,0.079,0.077
Consumer Durables and Apparel,NEWELL RUBBERMAID INC,0.333,0.328,0.419,0.37,0.38,0.388,0.395,0.403,0.357,0.327,0.424,0.391,0.37,0.353,0.308,0.303
Consumer Durables and Apparel,NVR INC,0.442,0.362,0.206,0.24,0.219,0.189,0.12,0.204,0.144,0.13,0.1,0.062,0.044,0.004,0.232,0.242
Consumer Durables and Apparel,OXFORD INDUSTRIES INC,0.221,0.176,0.003,0.002,0.402,0.286,0.323,0.226,0.22,0.299,0.421,0.344,0.263,0.208,0.209,0.226
Consumer Durables and Apparel,P and F INDUSTRIES  -CL A,0.296,0.263,0.243,0.126,0.293,0.227,0.43,0.307,0.25,0.409,0.433,0.516,0.355,0.248,0.192,0.145
Consumer Durables and Apparel,PHOENIX FOOTWEAR GROUP INC,0.214,0.278,0.493,0.538,0.158,0.332,0.271,0.4,0.502,0.335,0.337,0.201,0.376,0.435,0.547,0.561
Consumer Durables and Apparel,POLARIS INDUSTRIES INC,0.054,0.09,0.096,0.032,0.03,0.027,0.023,0.023,0.321,0.26,0.266,0.262,0.188,0.087,0.072,0.171
Consumer Durables and Apparel,PULTEGROUP INC,0.383,0.329,0.357,0.396,0.359,0.326,0.342,0.33,0.332,0.384,0.442,0.428,0.441,0.449,0.393,0.248
Consumer Durables and Apparel,PVH CORP,0.399,0.369,0.344,0.351,0.323,0.277,0.258,0.229,0.2,0.184,0.182,0.171,0.352,0.284,0.297,0.343
Consumer Durables and Apparel,QUIKSILVER INC,0.227,0.219,0.323,0.326,0.192,0.204,0.186,0.422,0.421,0.424,0.489,0.561,0.43,0.424,0.441,0.513
Consumer Durables and Apparel,RALPH LAUREN CORP,0.145,0.265,0.236,0.182,0.171,0.122,0.107,0.099,0.119,0.172,0.111,0.069,0.067,0.058,0.056,0.094
Consumer Durables and Apparel,ROCKY BRANDS INC,0.309,0.378,0.32,0.234,0.16,0.209,0.171,0.446,0.449,0.478,0.446,0.34,0.208,0.201,0.134,0.193
Consumer Durables and Apparel,RYLAND GROUP INC,0.509,0.459,0.407,0.366,0.322,0.282,0.23,0.272,0.278,0.33,0.424,0.508,0.532,0.553,0.587,0.529
Consumer Durables and Apparel,SKECHERS U S A INC,0.485,0.191,0.281,0.285,0.248,0.256,0.224,0.186,0.146,0.02,0.019,0.018,0.063,0.107,0.106,0.091
Consumer Durables and Apparel,SONY CORP  -ADR,0.185,0.151,0.153,0.146,0.115,0.138,0.096,0.104,0.094,0.086,0.093,0.094,0.075,0.088,0.083,0.084
Consumer Durables and Apparel,STANDARD PACIFIC CORP,0.526,0.404,0.42,0.461,0.419,0.429,0.375,0.396,0.487,0.57,0.7,0.644,0.633,0.623,0.525,0.53
Consumer Durables and Apparel,STANLEY FURNITURE CO INC,0.282,0.225,0.291,0.227,0.172,0.138,0.083,0.06,0.053,0.177,0.177,0.185,0.027,0.011,0.006,0.006
Consumer Durables and Apparel,TALON INTERNATIONAL INC,0.136,0.307,0.369,0.385,0.397,0.174,0.333,0.528,0.631,0.587,0.85,1.104,0.026,0.02,0,0.292
Consumer Durables and Apparel,TANDY BRANDS ACCESSORIES INC,0.394,0.395,0.338,0.346,0.225,0.205,0.074,0.106,0.101,0.043,0.005,0,0.125,0.274,0.209,0.258
Consumer Durables and Apparel,TUPPERWARE BRANDS CORP,0.387,0.367,0.453,0.435,0.345,0.302,0.253,0.432,0.398,0.317,0.315,0.238,0.213,0.331,0.339,0.464
Consumer Durables and Apparel,UNIFI INC,0.324,0.343,0.342,0.227,0.287,0.27,0.307,0.345,0.281,0.369,0.358,0.393,0.356,0.314,0.252,0.215
Consumer Durables and Apparel,VF CORP,0.2,0.231,0.268,0.239,0.19,0.234,0.2,0.159,0.145,0.199,0.186,0.183,0.151,0.227,0.191,0.141
Consumer Durables and Apparel,WELLS-GARDNER ELECTRONICS,0.17,0.226,0.327,0.469,0.417,0.313,0.111,0.282,0.306,0.252,0.201,0.09,0.03,0.047,0.131,0.06
Consumer Durables and Apparel,WHIRLPOOL CORP,0.254,0.203,0.259,0.21,0.23,0.192,0.172,0.15,0.168,0.149,0.192,0.192,0.161,0.164,0.16,0.158
Media,ALLBRITTON COMMUNICATIONS CO,1.537,1.557,1.585,1.668,1.637,1.785,1.834,1.906,2.573,2.864,3.032,3.739,3.551,3.757,3.51,4.183
Media,BEASLEY BROADCAST GROUP INC,0.891,0.934,0.474,0.708,0.696,0.612,0.555,0.514,0.518,0.567,0.659,0.607,0.561,0.497,0.45,0.405
Media,BRITISH SKY BRDCSTG GP  -ADR,0.688,0.646,0.456,0.457,0.717,0.569,0.455,0.464,0.527,0.518,0.599,0.601,0.512,0.436,0.437,0.46
Media,CABLEVISION SYS CORP  -CL A,0.759,0.855,0.79,0.686,0.736,0.898,0.966,1.002,1.268,1.271,1.278,1.22,1.451,1.562,1.521,1.481
Media,CARMIKE CINEMAS INC,0.504,0.582,0.067,0.08,0.752,0.619,0.505,0.585,0.611,0.742,0.811,0.813,0.777,0.746,0.61,0.539
Media,CBS CORP,0.177,0.245,0.154,0.122,0.116,0.11,0.143,0.184,0.162,0.175,0.26,0.26,0.23,0.228,0.224,0.244
Media,CC MEDIA HOLDINGS INC,0.309,0.274,0.213,0.199,0.317,0.249,0.37,0.377,0.406,0.35,0.923,1.147,1.179,1.222,1.273,1.357
Media,CENTRAL EUROPEAN MEDIA -CL A,0.564,0.817,0.939,1.168,1.154,0.047,0.044,0.349,0.279,0.258,0.457,0.48,0.462,0.494,0.561,0.492
Media,CHARTER COMMUNICATIONS INC,0.462,0.471,0.567,0.655,0.834,0.873,1.101,1.183,1.266,1.362,1.566,0.8,0.783,0.824,0.821,0.82
Media,COMCAST CORP,0.376,0.322,0.302,0.32,0.309,0.247,0.225,0.227,0.262,0.276,0.287,0.258,0.265,0.249,0.245,0.301
Media,CROWN MEDIA HOLDINGS INC,0.255,0.28,0.071,0.319,0.406,0.519,0.587,0.763,1.271,1.623,1.482,1.636,0.634,0.542,0.487,0.447
