Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AEROGROW INTERNATIONAL INC,NA,NA,NA,NA,0,0.945,0.049,0.146,0.539,0.729,0.933,1.97,0.912,0.057,0.069,0.198,NA
Consumer Discretionary,Retailing,Specialty Retail,AEROPOSTALE INC,0.289,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.403,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AFFINIA GROUP HLDGS INC-REDH,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AFFINIA GROUP INTRMDT HLDGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.438,0.478,0.593,0.929,0.988,1.259,NA
Consumer Discretionary,Media,Media,AFFINION GROUP HOLDINGS INC,NA,NA,NA,NA,NA,0.715,0.797,NA,NA,NA,NA,1.345,1.501,1.65,2.229,2.331,NA
Consumer Discretionary,Consumer Services,Diversified Consumer Services,AFFINION GROUP INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.172,1.306,1.415,1.955,2.241,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AFFINITY GAMING LLC,0.778,0.929,0.914,0.908,1.047,0.936,0.919,1.061,1.259,0,0.594,0.577,0.609,0.606,0.61,0.625,NA
Consumer Discretionary,Retailing,Specialty Retail,AFFINITY GROUP HOLDING INC,0.768,0.717,0.737,NA,0.982,0.985,0.946,0.93,1.364,1.741,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AFFINITY INTL TRAVEL SYS,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AFTERMASTER INC,0.157,2.075,NA,NA,NA,NA,1.235,0.073,0.074,0.355,0.088,0.204,3.397,6.055,14.078,0.763,2.795
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AG&E HOLDINGS INC,0.327,0.469,0.417,0.313,0.111,0.282,0.306,0.252,0.201,0.09,0.03,0.047,0.131,0.06,0,0,NA
Consumer Discretionary,Retailing,Distributors,AGRITEK HOLDINGS INC,0.163,0.459,0.869,0.543,NA,NA,NA,0,4.051,0.061,0,1.5,2,1.299,0.881,4.89,NA
Consumer Discretionary,Media,Media,AIRMEDIA GROUP INC -ADS,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.008,0,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AIRXCEL INC,0.921,0.999,1.233,1.234,1.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AJAY SPORTS INC,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ALADDIN GAMING HOLDINGS LLC,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Multiline Retail,ALCO STORES INC,0.207,0.16,0.145,0.065,0.053,0.147,0.153,0.178,0.239,0.21,0.278,0.297,0.328,0.461,NA,NA,NA
Consumer Discretionary,Consumer Services,Diversified Consumer Services,ALDERWOODS GROUP INC,0.018,0.239,0.242,0.206,0.201,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ALDILA INC,0.077,0,0,0,0,0,0,0,0.195,0.09,0.02,0.076,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ALIBRIS INC-REDH,NA,NA,0.097,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ALL AMERICAN GROUP INC,0.043,0.041,0.038,0.05,0.123,0.098,0.076,0.135,0.057,0.036,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,ALL AMERICAN SEMICONDUCTOR,0.512,0.528,0.394,0.451,0.527,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ALL AMERICAN SPORTPARK INC,3.027,4.486,4.351,4.128,4.456,4.76,5.531,5.546,5.063,4.067,5.498,5.324,6.371,6.829,7.358,7.75,NA
Consumer Discretionary,Media,Media,ALLBRITTON COMMUNICATIONS CO,1.585,1.668,1.637,1.785,1.834,1.906,2.573,2.864,3.032,3.739,3.551,3.757,3.51,4.183,NA,NA,NA
Consumer Discretionary,Media,Media,ALLIANCE ATLANTIS COMM -CL B,NA,NA,NA,NA,0.316,0.279,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,ALLIANCE MEDIA HOLDINGS INC,0,0.842,0.853,7.936,0.298,0.401,0.377,0.369,0.451,0.356,0.426,0.464,0.394,0.488,0.451,0.309,0.403
Consumer Discretionary,Media,Media,ALLIANCE MMA INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.12,NA
Consumer Discretionary,Media,Media,ALLOY INC,0.002,0.003,0.001,0.163,0.201,0.316,0.007,0.036,0,0,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,ALON BRANDS INC-REDH,NA,NA,NA,NA,NA,NA,0.359,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ALTERNATE MARKETING NETWORKS,0,0,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Automobiles,AM GENERAL CORP,0.345,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMARILLO MESQUITE GRILL INC,0.875,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMAYA INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447,0.49,0.438,NA
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,AMAZON.COM INC,1.004,1.326,1.135,0.892,0.569,0.412,0.302,0.214,0.08,0.028,0.046,0.077,0.152,0.172,0.295,0.268,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMBASSADORS GROUP INC,0,0,0,0.009,0.006,0.005,0.003,0.002,0,0,0,0,0,0,0,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMBIENT WATER CORP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,0,2.509,6.699,NA
Consumer Discretionary,Consumer Services,Diversified Consumer Services,AMBOW EDUCATION HLDGS  -ADR,NA,NA,NA,NA,NA,NA,NA,NA,0,0.075,0.055,0.038,0.057,0.103,0.035,0.002,NA
Consumer Discretionary,Media,Media,AMC ENTERTAINMENT HOLDINGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,0.435,0.399,0.399,NA
Consumer Discretionary,Media,Media,AMC ENTERTAINMENT INC,NA,NA,NA,NA,0.44,0.527,0.411,0.438,0.469,0.517,0.58,0.607,0.515,0.435,0.399,0.399,NA
Consumer Discretionary,Media,Media,AMC ENTERTAINMENT INC -OLD,0.751,0.536,0.514,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMC NETWORKS INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604,1.056,0.828,0.823,0.712,0.633,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AMCAST INDUSTRIAL CORP,0.316,0.434,0.441,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,AMCON DISTRIBUTING CO,0.595,0.674,0.589,0.6,0.613,0.66,0.595,0.506,0.456,0.333,0.271,0.264,0.195,0.187,0.176,0.205,0.124
Consumer Discretionary,Retailing,Distributors,AMER BLDRS & CNTRCTR SUPPLY,0.665,0.55,0.543,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,AMERICA'S CAR-MART INC,0.692,0.311,0.266,0.201,0.208,0.245,0.235,0.214,0.143,0.157,0.172,0.251,0.282,0.27,0.26,0.266,NA
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",AMERICAN ACHIEVEMENT CORP,NA,0.6,0.614,0.591,0.603,0.58,0.54,0.527,0.495,0.487,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AMERICAN AMMUNITION/CA,NA,0.217,0.164,0.072,0.043,0.496,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",AMERICAN APPAREL INC,NA,NA,NA,NA,NA,NA,NA,0.501,0.335,0.254,0.451,0.469,0.534,0.805,0.891,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AMERICAN AXLE & MFG HOLDINGS,0.429,0.406,0.314,0.188,0.176,0.183,0.259,0.294,0.507,0.539,0.478,0.507,0.507,0.515,0.471,0.431,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN CLASSIC VOYAGES CO,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICAN COIN MERCHNDSNG INC,0.621,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICAN COMMUNITY NEWSPAPER,NA,NA,NA,NA,NA,0,0,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICAN FILM TECHNOLOGIES,11.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMERICAN GREETINGS  -CL A,0.28,0.331,0.333,0.268,0.192,0.214,0.126,0.135,0.272,0.216,0.15,0.145,0.181,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMERICAN HOMESTAR CORP,0.575,0.254,0.234,0.104,0.029,0.071,0,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICAN LAWYER MEDIA INC,0.576,0.642,0.65,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN LEISURE HLDGS -OLD,NA,0.045,0.498,0.606,0.447,0.418,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICAN MEDIA OPERATIONS,NA,NA,0.68,0.662,0.663,0.776,1.083,1.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AMERICAN OUTDOOR BRANDS CORP,1.361,0.539,0.404,0.414,0.215,0.169,0.46,0.441,0.409,0.229,0.284,0.204,0.142,0.268,0.358,0.281,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMERICAN PLUMBING & MECH INC,0.521,0.479,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,Diversified Consumer Services,AMERICAN PUBLIC EDUCATION,NA,NA,NA,NA,NA,NA,0.069,0,0,0,0,0,0,0,0,0,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN RESTAURANT GROUP,1.65,1.787,2.067,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN RESTAURANT PRTNS-LP,1.021,0.998,0.983,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN SKIING CO,0.47,0.519,0.615,0.716,1.401,1.546,1.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,AMERICAN SPORTS DEV GROUP,NA,0.256,0.245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,AMERICAN TIRE DISTRBTR HLDGS,0.588,0.636,0.476,0.436,0.42,0.498,0.481,0.464,0.479,0.443,0.317,0.363,0.38,0.378,0.505,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN WAGERING INC,0.217,0.203,0.188,0.156,0.014,0.043,0.394,0.375,0.401,0.349,0.51,1.269,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AMERICANA DISTRIBUTION INC,0,0.612,0.231,0.222,0.485,85.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERIKING INC,0.79,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERISTAR CASINOS INC,0.888,0.71,0.69,0.621,0.583,0.564,0.573,0.695,0.758,0.761,0.743,0.959,0.932,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AMERITYRE CORP,0.06,0.041,0,0,0,0,0,0,0,0.108,0,0.295,0.221,0.25,0.026,0.031,0.072
Consumer Discretionary,Retailing,Specialty Retail,AMERN EAGLE OUTFITTERS INC,0.054,0.035,0.028,0.022,0,0,0,0,0.038,0.014,0,0,0,0,0,0,NA
Consumer Discretionary,Retailing,Multiline Retail,AMES DEPT STORES INC,0.396,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMF BOWLING INC,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,AMSCAN HOLDINGS INC,0.983,0.91,0.802,0.773,0.602,0.504,0.466,0.498,0.479,0.44,0.605,0.561,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ANCHOR GAMING,0.409,1.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ANGELCITI ENTERTAINMENT INC,NA,0.062,NA,0.167,0.148,0.024,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,ANN INC,0.139,0.135,0.12,0.109,0,0,0,0,0.007,0.003,0.006,0.004,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,ANNAS LINEN CO-REDH,NA,NA,NA,0,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ANTE4 INC,NA,NA,11.209,1.419,0,0,0,0,0,0.062,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ANTENNA TV SA  -ADR,0.497,0.65,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ANTHONY & SYLVAN POOLS CORP,0.022,0.114,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",ANVIL HOLDINGS INC,0.882,0.915,0.882,1.112,1.55,1.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,Diversified Consumer Services,APOLLO EDUCATION GROUP INC,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.181,0.162,0.183,0.251,0.231,0.212,0.021,0.045
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",APPLEBEES INTL INC,0.194,0.149,0.093,0.032,0.047,0.214,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Specialty Retail,APPLIANCE RECYCLING CTR AMER,0.562,0.496,0.454,0.506,0.455,0.458,0.5,0.544,0.534,0.488,0.428,0.404,0.427,0.361,0.33,0.395,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,APPLICA INC,0.413,0.356,0.372,0.286,0.408,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ARAMARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573,0.567,0.521,0.518,0.498
